Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
1,4 June 2010,18:45,F9 v1.07B0003.18,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,Failure
2,8 December 2010,15:43,F9 v1.07B0004.18,"CCAFS,SLC-40",Dragondemo flight C1(Dragon C101),0,LEO(ISS),NASA(COTS)NRO,Success,Failure
3,22 May 2012,07:44,F9 v1.07B0005.18,"CCAFS,SLC-40",Dragondemo flight C2+[18](Dragon C102),525 kg,LEO(ISS),NASA(COTS),Success,"No attempt
"
4,8 October 2012,00:35,F9 v1.07B0006.18,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg",LEO(ISS),NASA(CRS),Success,No attempt
5,1 March 2013,15:10,F9 v1.07B0007.18,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg",LEO(ISS),NASA(CRS),Success,"No attempt
"
6,29 September 2013,16:00,F9 v1.17B10038,"VAFB,SLC-4E",CASSIOPE[22][31],500 kg,Polar orbitLEO,MDA,Success,Uncontrolled
7,3 December 2013,22:41,F9 v1.1B1004,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg",GTO,SES,Success,No attempt
8,6 January 2014,22:06,F9 v1.1,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg",GTO,Thaicom,Success,No attempt
9,18 April 2014,19:25,F9 v1.1,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg",LEO(ISS),NASA(CRS),Success,Controlled
10,14 July 2014,15:15,F9 v1.1,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg",LEO,Orbcomm,Success,Controlled
11,5 August 2014,08:00,F9 v1.1,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg",GTO,AsiaSat,Success,No attempt
12,7 September 2014,05:00,F9 v1.1[,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg",GTO,AsiaSat,Success,"No attempt
"
13,21 September 2014,05:52,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-4[22](DragonC106.1),"2,216 kg",LEO(ISS),NASA(CRS),Success,Uncontrolled
14,10 January 2015,09:47,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg",LEO(ISS),NASA(CRS),Success,Failure 
15,11 February 2015,23:03,F9 v1.1[,"Cape Canaveral,LC-40",DSCOVR[68][73],570 kg,HEO(Sun–Earth L1insertion),USAFNASANOAA,Success,Controlled
16,2 March 2015,03:50,F9 v1.1[,"Cape Canaveral,LC-40",ABS-3AEutelsat 115 West B[68],"4,159 kg",GTO,ABSEutelsat,Success,No attempt
17,14 April 2015,20:10,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-6[68](DragonC108.1),"1,898 kg",LEO(ISS),NASA(CRS),Success,Failure
18,27 April 2015,23:03,F9 v1.1[,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt
19,28 June 2015,14:21,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg",LEO(ISS),NASA(CRS),Failure,Precluded
20,22 December 2015,01:29,F9 FT[,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034 kg",LEO,Orbcomm,Success,Success
21,17 January 2016,18:42,F9 v1.1[,"VAFB,SLC-4E",Jason-3[68][104],553 kg,LEO,NASA(LSP)NOAACNES,Success,Failure
